"cell_line_name","stripped_cell_line_name","CCLE_Name","alias","COSMICID","sex","source","RRID","WTSI_Master_Cell_ID","sample_collection_site","primary_or_metastasis","primary_disease","Subtype","age","Sanger_Model_ID","depmap_public_comments","lineage","lineage_subtype","lineage_sub_subtype","lineage_molecular_subtype","default_growth_pattern","model_manipulation","model_manipulation_details","patient_id","parent_depmap_id","Cellosaurus_NCIt_disease","Cellosaurus_NCIt_id","Cellosaurus_issues"
"UACC-893","UACC893","UACC893_BREAST","",909778,"Female","ATCC","CVCL_1782",1090,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","57","SIDM01186","","breast","breast_ductal_carcinoma","ERneg_HER2pos","HER2_amp","2D: adherent","","","PT-i8kZN9","","Invasive breast carcinoma of no special type","C4194",""
"MDA-MB-436","MDAMB436","MDAMB436_BREAST","",1240172,"Female","ATCC","CVCL_0623",927,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","43","SIDM00629","","breast","breast_carcinoma","ERneg_HER2neg","basal_B","2D: adherent","","","PT-aOGEYV","","Invasive breast carcinoma of no special type","C4194",""
"MDA-MB-157","MDAMB157","MDAMB157_BREAST","",925338,"Female","ATCC","CVCL_0618",1796,"pleural_effusion","Metastasis","Breast Cancer","Breast Ductal Carcinoma","44","SIDM00529","","breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_B","2D: adherent","","","PT-ER2PWK","","Breast carcinoma","C4872","Removed from DepMap;"
"HCC1806","HCC1806","HCC1806_BREAST","",907047,"Female","ATCC","CVCL_1258",1317,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","60","SIDM00875","","breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_A","2D: adherent","","","PT-j1ziCB","","Breast squamous cell carcinoma, acantholytic variant","C40359",""
"HCC70","HCC70","HCC70_BREAST","",907048,"Female","ATCC","CVCL_1270",937,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","49","SIDM00673","","breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_A","2D: adherent","","","PT-3DyHhv","","Breast ductal carcinoma","C4017",""
"HCC1395","HCC1395","HCC1395_BREAST","",749712,"Female","ATCC","CVCL_1249",94,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","43","SIDM00884","","breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_B","2D: adherent","","","PT-8MisfZ","","Breast ductal carcinoma","C4017",""
"JIMT-1","JIMT1","JIMT1_BREAST","",1298157,"Female","DSMZ","CVCL_2077",479,"pleural_effusion","Metastasis","Breast Cancer","Breast Ductal Carcinoma","62","SIDM01037","","breast","breast_ductal_carcinoma","ERneg_HER2pos","basal_A","","","","PT-K0vetf","","Breast ductal carcinoma","C4017",""
"HMC-1-8","HMC18","HMC18_BREAST","",NA,"Female","HSRRB","CVCL_2949",NA,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","35","","","breast","breast_carcinoma","ERneg_HER2neg","basal_B","2D: adherent","","","PT-tXW4rS","","Breast carcinoma","C4872",""
"HCC202","HCC202","HCC202_BREAST","",1290906,"Female","ATCC","CVCL_2062",1552,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","82","SIDM00870","","breast","breast_ductal_carcinoma","ERneg_HER2pos","HER2_amp","2D: adherent","","","PT-gUhFHU","","Breast ductal carcinoma","C4017",""
"MDA-MB-231","MDAMB231","MDAMB231_BREAST","",905960,"Female","ATCC","CVCL_0062",1013,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","51","SIDM00146","","breast","breast_carcinoma","ERneg_HER2neg","basal_B","2D: adherent","","","PT-pYG6Rc","","Breast adenocarcinoma","C5214",""
"CAMA-1","CAMA1","CAMA1_BREAST","",946382,"Female","ATCC","CVCL_1115",363,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","51","SIDM00920","","breast","breast_carcinoma","ERpos_HER2neg","luminal","2D: adherent","","","PT-dK1tBm","","Breast adenocarcinoma","C5214",""
"MDA-MB-468","MDAMB468","MDAMB468_BREAST","",908123,"Female","ATCC","CVCL_0419",415,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","51","SIDM00628","","breast","breast_carcinoma","ERneg_HER2neg","basal_A","2D: adherent","","","PT-58loXx","","Breast adenocarcinoma","C5214",""
"CAL-51","CAL51","CAL51_BREAST","",910927,"Female","DSMZ","CVCL_1110",4,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","45","SIDM00933","","breast","breast_carcinoma","ERneg_HER2neg","basal_B","2D: adherent","","","PT-PgOEtc","","Breast carcinoma","C4872",""
"HCC1954","HCC1954","HCC1954_BREAST","",749709,"Female","ATCC","CVCL_1259",2143,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","61","SIDM00872","","breast","breast_ductal_carcinoma","ERneg_HER2pos","basal_A","2D: adherent","","","PT-603OA3","","Breast ductal carcinoma","C4017",""
"MDA-MB-415","MDAMB415","MDAMB415_BREAST","",924240,"Female","ATCC","CVCL_0621",344,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","38","SIDM00630","","breast","breast_carcinoma","ERpos_HER2neg","HER2_amp","2D: adherent","","","PT-FjJcwU","","Breast adenocarcinoma","C5214",""
"MDA-MB-453","MDAMB453","MDAMB453_BREAST","",908122,"Female","ATCC","CVCL_0418",101,"pericardial_effusion","Metastasis","Breast Cancer","Carcinoma","48","SIDM00272","","breast","breast_carcinoma","ERneg_HER2neg","HER2_amp","2D: adherent","","","PT-TFQ2Kc","","Breast adenocarcinoma","C5214",""
"MDA-MB-361","MDAMB361","MDAMB361_BREAST","",908121,"Female","ATCC","CVCL_0620",880,"central_nervous_system","Metastasis","Breast Cancer","Carcinoma","40","SIDM00528","","breast","breast_carcinoma","ERpos_HER2pos","HER2_amp","2D: adherent","","","PT-0VWXIm","","Breast adenocarcinoma","C5214",""
"SUM-149PT","SUM149PT","SUM149PT_BREAST","",NA,"Female","Asterand","CVCL_3422",NA,"breast","Primary","Breast Cancer","Breast Ductal Carcinoma","40","","","breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_B","2D: adherent","","","PT-SMhk4C","","Breast inflammatory carcinoma","C4001",""
"SUM-159PT","SUM159PT","SUM159PT_BREAST","",NA,"Female","Asterand","CVCL_5423",NA,"breast","Primary","Breast Cancer","Carcinoma","71","","","breast","breast_carcinoma","ERneg_HER2neg","basal_B","2D: adherent","","","PT-OlQpj4","","Breast pleomorphic carcinoma","C5161",""
"SUM-185PE","SUM185PE","SUM185PE_BREAST","",NA,"Female","Asterand","CVCL_5591",NA,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","","","","breast","breast_carcinoma","ERneg_HER2neg","luminal","2D: adherent","","","PT-i9dYpA","","Breast ductal carcinoma","C4017",""
"SUM-229PE","SUM229PE","SUM229PE_BREAST","",NA,"Female","Asterand","CVCL_5594",NA,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","","","SNP fingerprinting rules out SUM149PT contamination.","breast","breast_carcinoma","ERneg_HER2neg","basal","2D: adherent","","","PT-jgjbSo","","Breast carcinoma","C4872","Partially misidentified. For a period of time Asterand (now BioIVT) mistakenly distributed SUM149PT (CVCL_3422) under the designation of SUM229PE. This leads to the publication of a STR profile (PubMed=25877200) which was almost identical to that of SUM149PT."
"SUM-52PE, SUM52","SUM52PE","SUM52PE_BREAST","",NA,"Female","Asterand","CVCL_3425",NA,"pleural_effusion","Metastasis","Breast Cancer","Carcinoma","","","","breast","breast_carcinoma","ERpos_HER2pos","luminal","2D: adherent","","","PT-sYFvXw","","Breast carcinoma","C4872",""
"MFM-223","MFM223","MFM223_BREAST","",NA,"Female","DSMZ","CVCL_1408",NA,"pleural_effusion","Metastasis","Breast Cancer","Breast Ductal Carcinoma","Adult","SIDM00332","","breast","breast_ductal_carcinoma","ERneg_HER2neg","luminal","2D: adherent","","","PT-FVLPZS","","Breast carcinoma","C4872",""
"COLO-824","COLO824","COLO824_BREAST","",NA,"Female","DSMZ","CVCL_1136",NA,"pleural_effusion","Metastasis","Breast Cancer","","52","SIDM00954","","breast","","","","2D: mixed adherent and suspension","","","PT-UXPdpL","","Breast carcinoma","C4872","Previously erroneously indicated as originating from a male patient, correct sex assignment from Moore G.E. in a personal communication to the authors of PubMed=9892114"
